全局章序,卷,卷内章号_文本,章名,正文区间字符数_含章末附注,起始位置,结束位置
1,小丑,1,绯红,2437,33,2893
2,小丑,2,情况,3225,2893,6589
3,小丑,3,梅丽莎（第一更求推荐票）,3121,6589,10167
4,小丑,4,占卜（第二更求推荐票）,3841,10167,14662
5,小丑,5,仪式（第三更求推荐票）,3291,14662,18679
6,小丑,6,非凡者,3369,18679,22604
7,小丑,7,代号,3270,22604,26435
8,小丑,8,新的时代,4422,26435,31703
9,小丑,9,笔记,3847,31703,36069
10,小丑,10,常态,3118,36069,39766
11,小丑,11,真正的厨艺,3071,39766,43360
12,小丑,12,再次上门,2797,43360,46721
13,小丑,13,值夜者,3081,46721,50365
14,小丑,14,通灵者,3840,50365,54876
15,小丑,15,邀请,2750,54876,58062
16,小丑,16,狗拿耗子,4457,58062,63347
17,小丑,17,特殊行动部,3471,63347,67347
18,小丑,18,起源和原因（第一更求推荐票）,3364,67347,71123
19,小丑,19,封印物（第二更求推荐票）,3515,71123,75030
20,小丑,20,健忘的邓恩（第三更求推荐票）,4147,75030,79961
21,小丑,21,他乡遇故知,3211,79961,83690
22,小丑,22,序列起始,2863,83690,86952
23,小丑,23,副手武器,3285,86952,90790
24,小丑,24,节俭持家,3384,90790,94655
25,小丑,25,教堂,3479,94655,98787
26,小丑,26,练习,3543,98787,103013
27,小丑,27,兄妹三人的晚餐,3090,103013,106623
28,小丑,28,密修会,2993,106623,110079
29,小丑,29,“职业”和住房都是严肃的事情,3340,110079,113862
30,小丑,30,新的开始,3638,113862,118100
31,小丑,31,魔药,3844,118100,122429
32,小丑,32,灵视,4393,122429,127433
33,小丑,33,“开关”（第一更求推荐票）,3269,127433,131234
34,小丑,34,预付的报酬（第二更求推荐票）,3094,131234,134855
35,小丑,35,交流消息（第三更求推荐票）,3137,134855,138590
36,小丑,36,一个简单的问题,3240,138590,142392
37,小丑,37,俱乐部,2866,142392,145768
38,小丑,38,业余爱好者,3058,145768,149398
39,小丑,39,有趣的技巧,3156,149398,153072
40,小丑,40,神秘学课程,3246,153072,156817
41,小丑,41,奥黛丽和她的苏茜,3244,156817,160636
42,小丑,42,管家刻利,3351,160636,164558
43,小丑,43,寻人,3243,164558,168400
44,小丑,44,宿命,3570,168400,172647
45,小丑,45,重返,2956,172647,176136
46,小丑,46,画像,3370,176136,180087
47,小丑,47,缺钱的老尼尔,3503,180087,184073
48,小丑,48,海纳斯.凡森特（第一更求推荐票）,3285,184073,187929
49,小丑,49,占卜术（第二更求推荐票）,2989,187929,191281
50,小丑,50,老尼尔的还钱办法（第三更求推荐票）,3172,191281,195060
51,小丑,51,接地气的仪式魔法,3251,195060,198922
52,小丑,52,观众,3157,198922,202594
53,小丑,53,倾听者,2929,202594,205991
54,小丑,54,第一位求卜者,3047,205991,209587
55,小丑,55,启示,3131,209587,213257
56,小丑,56,海上大逃杀,3097,213257,216788
57,小丑,57,梳理和总结,3048,216788,220270
58,小丑,58,一个思路,3119,220270,223912
59,小丑,59,罗塞尔的初始,3254,223912,227601
60,小丑,60,第二块“亵渎石板”,3148,227601,231264
61,小丑,61,古怪的符号,3165,231264,234929
62,小丑,62,“占卜家”的建议,3217,234929,238661
63,小丑,63,解梦（第一更求推荐票）,3166,238661,242357
64,小丑,64,教唆者（第二更求推荐票）,3324,242357,246296
65,小丑,65,非凡者资料（第三更求推荐票）,3155,246296,249840
66,小丑,66,魔女教派,3291,249840,253588
67,小丑,67,“回应”,3046,253588,257217
68,小丑,68,“怪物”,3090,257217,260818
69,小丑,69,护身符,3418,260818,264794
70,小丑,70,“2—049”抵达,3163,264794,268484
71,小丑,71,滞涩现象,3104,268484,272105
72,小丑,72,追踪,3130,272105,275798
73,小丑,73,初战,2717,275798,279114
74,小丑,74,瑞尔.比伯,2615,279114,282301
75,小丑,75,自救,3496,282301,286384
76,小丑,76,善后,3415,286384,290320
77,小丑,77,残留物,3055,290320,293837
78,小丑,78,心理阴影（第一更求推荐票）,3794,293837,298355
79,小丑,79,又一次的呢喃（第二更求推荐票）,3134,298355,302089
80,小丑,80,晚宴的邀请（第三更求推荐票）,3091,302089,305712
81,小丑,81,久闻终见,3153,305712,309376
82,小丑,82,草药店,3337,309376,313373
83,小丑,83,雕刻,3010,313373,316928
84,小丑,84,伊丽莎白,3145,316928,320614
85,小丑,85,紧迫,3043,320614,324232
86,小丑,86,祈求,3554,324232,328463
87,小丑,87,叮嘱,3073,328463,332129
88,小丑,88,汇报,3349,332129,336053
89,小丑,89,简单任务,3273,336053,339927
90,小丑,90,所“见”,3616,339927,344245
91,小丑,91,解决,3273,344245,348099
92,小丑,92,“心理学专家”,2973,348099,351550
93,小丑,93,新的日记（第一更求推荐票）,3196,351550,355279
94,小丑,94,隐匿贤者（第二更求推荐票）,3268,355279,359037
95,小丑,95,“祈求者”（第三更求推荐票）,3057,359037,362621
96,小丑,96,戴莉的猜测,3537,362621,366742
97,小丑,97,格斗老师,3189,366742,370514
98,小丑,98,阿兹克先生,3511,370514,374585
99,小丑,99,红烟囱,2950,374585,378039
100,小丑,100,解读象征,3431,378039,381968
101,小丑,101,意外的线索,3408,381968,385913
102,小丑,102,布料商人,2720,385913,389115
103,小丑,103,从心之人,3077,389115,392716
104,小丑,104,Z先生,3024,392716,396143
105,小丑,105,通灵,3609,396143,400335
106,小丑,106,画家克莱恩,3392,400335,404336
107,小丑,107,佛尔思,3121,404336,408010
108,小丑,108,深夜（求推荐票）,3087,408010,411607
109,小丑,109,推理（求推荐票）,3094,411607,415277
110,小丑,110,确认,3056,415277,418903
111,小丑,111,错过,2938,418903,422430
112,小丑,112,阿兹克的解释,3259,422430,426216
113,小丑,113,请求,2531,426216,429138
114,小丑,114,成员的标准,3070,429138,432710
115,小丑,115,诈骗犯,3372,432710,436612
116,小丑,116,兰尔乌斯的孩子,2879,436612,440037
117,小丑,117,接触,3181,440037,443873
118,小丑,118,八月,3234,443873,447588
119,小丑,119,真正的下街,3475,447588,451625
120,小丑,120,济贫院,3300,451625,455544
121,小丑,121,伦纳德的“猜测”,3248,455544,459261
122,小丑,122,目标建筑（周一求推荐票）,2723,459261,462571
123,小丑,123,超凡战（求推荐票）,2660,462571,465750
124,小丑,124,收尾的工作,3280,465750,469640
125,小丑,125,大胆的想法,3218,469640,473408
126,小丑,126,占卜不是万能的,3349,473408,477363
127,小丑,127,铺垫,3150,477363,480910
128,小丑,128,贫穷的愚者,3152,480910,484576
129,小丑,129,失控者,4576,484576,489823
130,小丑,130,贝克兰德的隐秘聚会（第一更）,3256,489823,493693
131,小丑,131,交易（第二更）,3214,493693,497483
132,小丑,132,再见“怪物”（第三更）,3327,497483,501326
133,小丑,133,烧钱的符咒（第四更）,3319,501326,505214
134,小丑,134,超过一分钟了（第五更）,3428,505214,509176
135,小丑,135,男爵的画像（第六更）,3323,509176,513031
136,小丑,136,为难的克莱恩（第一更）,3047,513031,516558
137,小丑,137,白银之城（第二更）,4232,516558,521415
138,小丑,138,“巨人”途径（第三更求月票）,3160,521415,524932
139,小丑,139,研究“3—0782”（第四更求月票）,3271,524932,528714
140,小丑,140,作死能手（第一更求月票）,3304,528714,532439
141,小丑,141,梦魇（第二更求月票）,3160,532439,536054
142,小丑,142,联想（第三更求月票）,3351,536054,539812
143,小丑,143,愚者牌同声翻译器（第一更求推荐票月票）,3267,539812,543580
144,小丑,144,三方交易（求推荐票月票）,3272,543580,547285
145,小丑,145,合作的请求（求月票）,3112,547285,550810
146,小丑,146,蠕动的饥饿,3183,550810,554413
147,小丑,147,深夜来访者,3259,554413,558080
148,小丑,148,信使,3145,558080,561667
149,小丑,149,露骨的铺垫,3029,561667,565236
150,小丑,150,阿兹克的发现,3032,565236,568814
151,小丑,151,克莱恩的请求,3050,568814,572315
152,小丑,152,不错的尝试,3244,572315,576135
153,小丑,153,最后的铺垫,2714,576135,579371
154,小丑,154,分享“经验”,3490,579371,583468
155,小丑,155,紧急见面（第一更求月票）,3268,583468,587265
156,小丑,156,考虑长远的梅丽莎（第二更求月票）,3132,587265,590924
157,小丑,157,梦想的物品（第三更求推荐票）,3189,590924,594672
158,小丑,158,有备无患（第一更求推荐票月票）,3153,594672,598291
159,小丑,159,“赐予”与“献祭”（第二更求推荐票月票）,3406,598291,602132
160,小丑,160,把握机会（第三更求推荐票月票）,3092,602132,605725
161,小丑,161,倒立的陵寝,3553,605725,609902
162,小丑,162,阳光猛烈,3628,609902,614099
163,小丑,163,种种迹象,3092,614099,617754
164,小丑,164,可怜虫,3123,617754,621373
165,小丑,165,墓志铭,2556,621373,624443
166,小丑,166,考查,3137,624443,628135
167,小丑,167,圣物,3027,628135,631687
168,小丑,168,“小丑”魔药,3214,631687,635388
169,小丑,169,新的能力,3062,635388,638865
170,小丑,170,铜哨,3389,638865,642952
171,小丑,171,升职加薪,3186,642952,646611
172,小丑,172,“尸检”,3168,646611,650324
173,小丑,173,活尸化（第一更求推荐票月票）,3158,650324,654013
174,小丑,174,雪伦夫人（第二更求月票推荐票）,3202,654013,657831
175,小丑,175,推测（第三更求月票推荐票）,3270,657831,661649
176,小丑,176,信,3152,661649,665331
177,小丑,177,突如其来,3153,665331,668993
178,小丑,178,后续思路,3075,668993,672589
179,小丑,179,赞美“愚者”先生,3131,672589,676155
180,小丑,180,聪明人总是想太多,3047,676155,679594
181,小丑,181,不同的状态,3102,679594,683116
182,小丑,182,漫游者克莱恩,3046,683116,686577
183,小丑,183,通灵学“课程”,3023,686577,689992
184,小丑,184,门后,3651,689992,694300
185,小丑,185,心灵世界,3227,694300,698072
186,小丑,186,帅气的队长,3192,698072,701714
187,小丑,187,阿兹克的告诫,3079,701714,705118
188,小丑,188,舞会（求推荐票月票）,3446,705118,709067
189,小丑,189,祈求与回应（求推荐票和月票）,3241,709067,712845
190,小丑,190,能力的搭配,3184,712845,716502
191,小丑,191,动机不明,3438,716502,720569
192,小丑,192,重视,3246,720569,724304
193,小丑,193,告一段落,3078,724304,727873
194,小丑,194,潜入,3089,727873,731481
195,小丑,195,“开锁专家”克莱恩,3365,731481,735396
196,小丑,196,通灵者的镜子（第一更求月票）,3092,735396,739037
197,小丑,197,行动（第二更求月票）,3340,739037,742916
198,小丑,198,擅用特殊（第三更求月票）,3159,742916,746638
199,小丑,199,“投骰”成功（第一更求月票）,3323,746638,750588
200,小丑,200,欢愉魔女（第二更求月票）,3825,750588,754909
201,小丑,201,询问（第三更求月票）,3080,754909,758617
202,小丑,202,确认情况（第一更求月票）,3121,758617,762344
203,小丑,203,“异种”（第二更求月票）,3087,762344,765875
204,小丑,204,来访者（第三更求推荐票月票）,3293,765875,769758
205,小丑,205,紧急安排（求月票）,3394,769758,773707
206,小丑,206,“2”级封印物（求月票）,2762,773707,776889
207,小丑,207,守护者,3410,776889,780819
208,小丑,208,啼哭,3040,780819,784431
209,小丑,209,光,2801,784431,787713
210,小丑,210,故事,4430,787713,792728
211,小丑,211,葬礼（感谢叁生缘纵猎者大佬打赏）,3465,792728,796864
212,小丑,212,复仇者,3524,796864,800920
213,小丑,213,再看一眼,5043,800920,806561
214,无面人,1,希望之地,3145,806561,810091
215,无面人,2,萨默尔太太,3716,810091,814409
216,无面人,3,未变的聚会（求推荐票月票）,3204,814409,818086
217,无面人,4,“门”先生的描述（求推荐票月票）,3127,818086,821580
218,无面人,5,免费的常识,3288,821580,825278
219,无面人,6,解释,3093,825278,828832
220,无面人,7,克莱恩的献祭仪式,3137,828832,832460
221,无面人,8,高层次的塔罗会,3172,832460,836200
222,无面人,9,第一单委托,3056,836200,839780
223,无面人,10,三件事情,3168,839780,843519
224,无面人,11,玄学型侦探,3047,843519,847097
225,无面人,12,不露痕迹地引导,3318,847097,851099
226,无面人,13,惊恐的休,3196,851099,854897
227,无面人,14,发明家雷帕德,3552,854897,859119
228,无面人,15,主使者,3104,859119,862812
229,无面人,16,两害相权取其轻,3303,862812,866606
230,无面人,17,审讯（求推荐票月票）,3453,866606,870649
231,无面人,18,亏损（求推荐票月票）,3264,870649,874467
232,无面人,19,勇敢者酒吧,3245,874467,878309
233,无面人,20,人不可貌相,3235,878309,882033
234,无面人,21,满月的夜晚,3018,882033,885595
235,无面人,22,忙碌的周一,3239,885595,889354
236,无面人,23,会内委托,3105,889354,892882
237,无面人,24,序列2,3126,892882,896388
238,无面人,25,空想之龙,3152,896388,899981
239,无面人,26,各自的“聚会”,3053,899981,903454
240,无面人,27,赌运气？,3162,903454,907009
241,无面人,28,污秽之语,3162,907009,910738
242,无面人,29,贝克朗,3153,910738,914391
243,无面人,30,捉奸,3161,914391,918032
244,无面人,31,接受者（求推荐票月票）,3319,918032,921895
245,无面人,32,确认（求推荐票月票）,3193,921895,925547
246,无面人,33,奇怪的预兆,3210,925547,929223
247,无面人,34,事情的原委,4089,929223,933880
248,无面人,35,等待的双方,3115,933880,937401
249,无面人,36,刺杀,3070,937401,941096
250,无面人,37,丰富的作死经验,3108,941096,944732
251,无面人,38,收获,3466,944732,948697
252,无面人,39,尾声,3213,948697,952421
253,无面人,40,夜思,3184,952421,956001
254,无面人,41,各方,3101,956001,959643
255,无面人,42,拍照专家,3108,959643,963216
256,无面人,43,再见药师,3308,963216,967163
257,无面人,44,“2—081”,3233,967163,970864
258,无面人,45,杀人案（求推荐票月票）,3401,970864,974839
259,无面人,46,地下建筑（求推荐票月票）,3133,974839,978541
260,无面人,47,怪异的雕像,3057,978541,982100
261,无面人,48,最里面的房间,4504,982100,987332
262,无面人,49,梦（求月票）,3341,987332,991164
263,无面人,50,灵感与尝试（求月票）,3390,991164,995150
264,无面人,51,五人聚会（求月票）,3044,995150,998646
265,无面人,52,亵渎之牌（求月票）,3043,998646,1002051
266,无面人,53,“世界”的委托,3207,1002051,1005774
267,无面人,54,一唱一和,3166,1005774,1009501
268,无面人,55,墓园和医院,3236,1009501,1013263
269,无面人,56,心理炼金会的线索,3081,1013263,1016843
270,无面人,57,记者,3093,1016843,1020375
271,无面人,58,金玫瑰,3512,1020375,1024495
272,无面人,59,互相观察（求推荐票月票）,3045,1024495,1027983
273,无面人,60,出手配方（求月票推荐票）,3293,1027983,1031700
274,无面人,61,非凡武器（求推荐票月票）,3256,1031700,1035459
275,无面人,62,庞德家族（求推荐票月票）,3274,1035459,1039224
276,无面人,63,拉夫特.庞德,3094,1039224,1042779
277,无面人,64,敲定方案,3318,1042779,1046610
278,无面人,65,免费？,3223,1046610,1050423
279,无面人,66,乐极生悲,3110,1050423,1054016
280,无面人,67,第一步,3447,1054016,1058029
281,无面人,68,线索,3131,1058029,1061647
282,无面人,69,这就是东区,3587,1061647,1065832
283,无面人,70,码头工会,3202,1065832,1069624
284,无面人,71,本能的颤栗,3058,1069624,1073190
285,无面人,72,午夜钟楼,3911,1073190,1077830
286,无面人,73,嘲讽的笑容（周一求推荐票月票）,3445,1077830,1081877
287,无面人,74,死战（求月票推荐票）,3040,1081877,1085538
288,无面人,75,充满象征意味的现场,3513,1085538,1089563
289,无面人,76,猜测和调查,3047,1089563,1093142
290,无面人,77,侧面推动,3097,1093142,1096632
291,无面人,78,卖方公证为一人,3176,1096632,1100306
292,无面人,79,交流消息,3193,1100306,1103959
293,无面人,80,戴里克的担忧,3120,1103959,1107503
294,无面人,81,星之上将,3140,1107503,1111084
295,无面人,82,材料齐,3228,1111084,1114812
296,无面人,83,魔术师,3092,1114812,1118368
297,无面人,84,满月的呓语,3157,1118368,1122111
298,无面人,85,又一起,3139,1122111,1125751
299,无面人,86,响指,3146,1125751,1129528
300,无面人,87,灵舞（周一求推荐票月票）,3245,1129528,1133414
301,无面人,88,唤醒（求月票推荐票）,3144,1133414,1137269
302,无面人,89,线索,3319,1137269,1141135
